alpha,space,cell_idx,kl_div,lipschitz
1.0,X,0,17.290042877197266,0.6500898003578186
1.0,X,1,0.03997545689344406,2.754157066345215
1.0,X,2,30.44354820251465,0.7042217254638672
1.0,X,3,2251.94970703125,0.07372353225946426
1.0,X,4,47.91347885131836,1.5805158615112305
1.0,X,5,0.2942083775997162,2.823746681213379
1.0,X,6,0.05882042646408081,2.732773542404175
1.0,X,7,189.5918731689453,0.5970962643623352
1.0,X,8,-5.0,-5.0
1.0,X,9,-5.0,-5.0
1.0,X,10,-5.0,-5.0
1.0,X,11,-5.0,-5.0
1.0,X,12,-5.0,-5.0
1.0,X,13,-5.0,-5.0
1.0,X,14,-5.0,-5.0
1.0,X,15,-5.0,-5.0
1.0,X,16,-5.0,-5.0
1.0,X,17,-5.0,-5.0
1.0,X,18,-5.0,-5.0
1.0,X,19,-5.0,-5.0
1.0,X,20,-5.0,-5.0
1.0,X,21,-5.0,-5.0
1.0,X,22,-5.0,-5.0
1.0,X,23,-5.0,-5.0
1.0,X,24,-5.0,-5.0
1.0,X,25,-5.0,-5.0
1.0,X,26,-5.0,-5.0
1.0,X,27,-5.0,-5.0
1.0,X,28,-5.0,-5.0
1.0,X,29,-5.0,-5.0
1.0,X,30,-5.0,-5.0
1.0,X,31,-5.0,-5.0
1.0,X,32,-5.0,-5.0
1.0,X,33,-5.0,-5.0
1.0,X,34,-5.0,-5.0
1.0,X,35,-5.0,-5.0
1.0,X,36,-5.0,-5.0
1.0,X,37,-5.0,-5.0
1.0,X,38,-5.0,-5.0
1.0,X,39,-5.0,-5.0
1.0,X,40,-5.0,-5.0
1.0,X,41,-5.0,-5.0
1.0,X,42,-5.0,-5.0
1.0,X,43,-5.0,-5.0
1.0,X,44,-5.0,-5.0
1.0,X,45,-5.0,-5.0
1.0,X,46,-5.0,-5.0
1.0,X,47,-5.0,-5.0
1.0,X,48,-5.0,-5.0
1.0,X,49,-5.0,-5.0
1.0,X,50,-5.0,-5.0
1.0,X,51,-5.0,-5.0
1.0,X,52,-5.0,-5.0
1.0,X,53,-5.0,-5.0
1.0,X,54,-5.0,-5.0
1.0,X,55,-5.0,-5.0
1.0,X,56,-5.0,-5.0
1.0,X,57,-5.0,-5.0
1.0,X,58,-5.0,-5.0
1.0,X,59,-5.0,-5.0
1.0,X,60,-5.0,-5.0
1.0,X,61,-5.0,-5.0
1.0,X,62,-5.0,-5.0
1.0,X,63,-5.0,-5.0
1.0,X,64,-5.0,-5.0
1.0,X,65,-5.0,-5.0
1.0,X,66,-5.0,-5.0
1.0,X,67,-5.0,-5.0
1.0,X,68,-5.0,-5.0
1.0,X,69,-5.0,-5.0
1.0,X,70,-5.0,-5.0
1.0,X,71,-5.0,-5.0
1.0,X,72,-5.0,-5.0
1.0,X,73,-5.0,-5.0
1.0,X,74,-5.0,-5.0
1.0,X,75,-5.0,-5.0
1.0,X,76,-5.0,-5.0
1.0,X,77,-5.0,-5.0
1.0,X,78,-5.0,-5.0
1.0,X,79,-5.0,-5.0
1.0,X,80,-5.0,-5.0
1.0,X,81,-5.0,-5.0
1.0,X,82,-5.0,-5.0
1.0,X,83,-5.0,-5.0
1.0,X,84,-5.0,-5.0
1.0,X,85,-5.0,-5.0
1.0,X,86,-5.0,-5.0
1.0,X,87,-5.0,-5.0
1.0,X,88,-5.0,-5.0
1.0,X,89,-5.0,-5.0
1.0,X,90,-5.0,-5.0
1.0,X,91,-5.0,-5.0
1.0,X,92,-5.0,-5.0
1.0,X,93,-5.0,-5.0
1.0,X,94,-5.0,-5.0
1.0,X,95,-5.0,-5.0
1.0,X,96,-5.0,-5.0
1.0,X,97,-5.0,-5.0
1.0,X,98,-5.0,-5.0
1.0,X,99,-5.0,-5.0
1.0,X,100,-5.0,-5.0
1.0,X,101,-5.0,-5.0
1.0,X,102,-5.0,-5.0
1.0,X,103,-5.0,-5.0
1.0,X,104,-5.0,-5.0
1.0,X,105,-5.0,-5.0
1.0,X,106,-5.0,-5.0
1.0,X,107,-5.0,-5.0
1.0,X,108,-5.0,-5.0
1.0,X,109,-5.0,-5.0
1.0,X,110,-5.0,-5.0
1.0,X,111,-5.0,-5.0
1.0,X,112,-5.0,-5.0
1.0,X,113,-5.0,-5.0
1.0,X,114,-5.0,-5.0
1.0,X,115,-5.0,-5.0
1.0,X,116,-5.0,-5.0
1.0,X,117,-5.0,-5.0
1.0,X,118,-5.0,-5.0
1.0,X,119,-5.0,-5.0
1.0,X,120,-5.0,-5.0
1.0,X,121,-5.0,-5.0
1.0,X,122,-5.0,-5.0
1.0,X,123,-5.0,-5.0
1.0,X,124,-5.0,-5.0
1.0,X,125,-5.0,-5.0
1.0,X,126,-5.0,-5.0
1.0,X,127,-5.0,-5.0
1.0,X,128,-5.0,-5.0
1.0,X,129,-5.0,-5.0
1.0,X,130,-5.0,-5.0
1.0,X,131,-5.0,-5.0
1.0,X,132,-5.0,-5.0
1.0,X,133,-5.0,-5.0
1.0,X,134,-5.0,-5.0
1.0,X,135,-5.0,-5.0
1.0,X,136,-5.0,-5.0
1.0,X,137,-5.0,-5.0
1.0,X,138,-5.0,-5.0
1.0,X,139,-5.0,-5.0
1.0,X,140,-5.0,-5.0
1.0,X,141,-5.0,-5.0
1.0,X,142,-5.0,-5.0
1.0,X,143,-5.0,-5.0
1.0,X,144,-5.0,-5.0
1.0,X,145,-5.0,-5.0
1.0,X,146,-5.0,-5.0
1.0,X,147,-5.0,-5.0
1.0,X,148,-5.0,-5.0
1.0,X,149,-5.0,-5.0
1.0,X,150,-5.0,-5.0
1.0,X,151,-5.0,-5.0
1.0,X,152,-5.0,-5.0
1.0,X,153,-5.0,-5.0
1.0,X,154,-5.0,-5.0
1.0,X,155,-5.0,-5.0
1.0,X,156,-5.0,-5.0
1.0,X,157,-5.0,-5.0
1.0,X,158,-5.0,-5.0
1.0,X,159,-5.0,-5.0
1.0,X,160,-5.0,-5.0
1.0,X,161,-5.0,-5.0
1.0,X,162,-5.0,-5.0
1.0,X,163,-5.0,-5.0
1.0,X,164,-5.0,-5.0
1.0,X,165,-5.0,-5.0
1.0,X,166,-5.0,-5.0
1.0,X,167,-5.0,-5.0
1.0,X,168,-5.0,-5.0
1.0,X,169,-5.0,-5.0
1.0,X,170,-5.0,-5.0
1.0,X,171,-5.0,-5.0
1.0,X,172,-5.0,-5.0
1.0,X,173,-5.0,-5.0
1.0,X,174,-5.0,-5.0
1.0,X,175,-5.0,-5.0
1.0,X,176,-5.0,-5.0
1.0,X,177,-5.0,-5.0
1.0,X,178,-5.0,-5.0
1.0,X,179,-5.0,-5.0
1.0,X,180,-5.0,-5.0
1.0,X,181,-5.0,-5.0
1.0,X,182,-5.0,-5.0
1.0,X,183,-5.0,-5.0
1.0,X,184,-5.0,-5.0
1.0,X,185,-5.0,-5.0
1.0,X,186,-5.0,-5.0
1.0,X,187,-5.0,-5.0
1.0,X,188,-5.0,-5.0
1.0,X,189,-5.0,-5.0
1.0,X,190,-5.0,-5.0
1.0,X,191,-5.0,-5.0
1.0,X,192,-5.0,-5.0
1.0,X,193,-5.0,-5.0
1.0,X,194,-5.0,-5.0
1.0,X,195,-5.0,-5.0
1.0,X,196,-5.0,-5.0
1.0,X,197,-5.0,-5.0
1.0,X,198,-5.0,-5.0
1.0,X,199,-5.0,-5.0
1.0,X,200,-5.0,-5.0
1.0,X,201,-5.0,-5.0
1.0,X,202,-5.0,-5.0
1.0,X,203,-5.0,-5.0
1.0,X,204,-5.0,-5.0
1.0,X,205,-5.0,-5.0
1.0,X,206,-5.0,-5.0
1.0,X,207,-5.0,-5.0
1.0,X,208,-5.0,-5.0
1.0,X,209,-5.0,-5.0
1.0,X,210,-5.0,-5.0
1.0,X,211,-5.0,-5.0
1.0,X,212,-5.0,-5.0
1.0,X,213,-5.0,-5.0
1.0,X,214,-5.0,-5.0
1.0,X,215,-5.0,-5.0
1.0,X,216,-5.0,-5.0
1.0,X,217,-5.0,-5.0
1.0,X,218,-5.0,-5.0
1.0,X,219,-5.0,-5.0
1.0,X,220,-5.0,-5.0
1.0,X,221,-5.0,-5.0
1.0,X,222,-5.0,-5.0
1.0,X,223,-5.0,-5.0
1.0,X,224,-5.0,-5.0
1.0,X,225,-5.0,-5.0
1.0,X,226,-5.0,-5.0
1.0,X,227,-5.0,-5.0
1.0,X,228,-5.0,-5.0
1.0,X,229,-5.0,-5.0
1.0,X,230,-5.0,-5.0
1.0,X,231,-5.0,-5.0
1.0,X,232,-5.0,-5.0
1.0,X,233,-5.0,-5.0
1.0,X,234,-5.0,-5.0
1.0,X,235,-5.0,-5.0
1.0,X,236,-5.0,-5.0
1.0,X,237,-5.0,-5.0
1.0,X,238,-5.0,-5.0
1.0,X,239,-5.0,-5.0
1.0,X,240,-5.0,-5.0
1.0,X,241,-5.0,-5.0
1.0,X,242,-5.0,-5.0
1.0,X,243,-5.0,-5.0
1.0,X,244,-5.0,-5.0
