alpha,space,cell_idx,kl_div,lipschitz
0.0001,X,0,9.343706130981445,0.2166047841310501
0.0001,X,1,9.701464653015137,1.0
0.0001,X,2,9.982006072998047,1.0
0.0001,X,3,10.494834899902344,1.0
0.0001,X,4,9.547954559326172,0.401422917842865
0.0001,X,5,8.700064659118652,0.19686217606067657
0.0001,X,6,0.049943000078201294,2.2698206901550293
0.0001,X,7,0.05605391785502434,3.072969436645508
0.0001,X,8,-5.0,-5.0
0.0001,X,9,-5.0,-5.0
0.0001,X,10,-5.0,-5.0
0.0001,X,11,-5.0,-5.0
0.0001,X,12,-5.0,-5.0
0.0001,X,13,-5.0,-5.0
0.0001,X,14,-5.0,-5.0
0.0001,X,15,-5.0,-5.0
0.0001,X,16,-5.0,-5.0
0.0001,X,17,-5.0,-5.0
0.0001,X,18,-5.0,-5.0
0.0001,X,19,-5.0,-5.0
0.0001,X,20,-5.0,-5.0
0.0001,X,21,-5.0,-5.0
0.0001,X,22,-5.0,-5.0
0.0001,X,23,-5.0,-5.0
0.0001,X,24,-5.0,-5.0
0.0001,X,25,-5.0,-5.0
0.0001,X,26,-5.0,-5.0
0.0001,X,27,-5.0,-5.0
0.0001,X,28,-5.0,-5.0
0.0001,X,29,-5.0,-5.0
0.0001,X,30,-5.0,-5.0
0.0001,X,31,-5.0,-5.0
0.0001,X,32,-5.0,-5.0
0.0001,X,33,-5.0,-5.0
0.0001,X,34,-5.0,-5.0
0.0001,X,35,-5.0,-5.0
0.0001,X,36,-5.0,-5.0
0.0001,X,37,-5.0,-5.0
0.0001,X,38,-5.0,-5.0
0.0001,X,39,-5.0,-5.0
0.0001,X,40,-5.0,-5.0
0.0001,X,41,-5.0,-5.0
0.0001,X,42,-5.0,-5.0
0.0001,X,43,-5.0,-5.0
0.0001,X,44,-5.0,-5.0
0.0001,X,45,-5.0,-5.0
0.0001,X,46,-5.0,-5.0
0.0001,X,47,-5.0,-5.0
0.0001,X,48,-5.0,-5.0
0.0001,X,49,-5.0,-5.0
0.0001,X,50,-5.0,-5.0
0.0001,X,51,-5.0,-5.0
