alpha,space,cell_idx,kl_div,lipschitz
0.01,X,0,0.3696059584617615,0.4375825524330139
0.01,X,1,130.29774475097656,0.9665460586547852
0.01,X,2,136.778564453125,1.0000191926956177
0.01,X,3,36.84423828125,1.3243935108184814
0.01,X,4,34.909156799316406,0.33603543043136597
0.01,X,5,63.044525146484375,1.1457496881484985
0.01,X,6,20.62301254272461,4.42029333114624
0.01,X,7,16.759464263916016,0.4047081470489502
0.01,X,8,-5.0,-5.0
0.01,X,9,-5.0,-5.0
0.01,X,10,-5.0,-5.0
0.01,X,11,-5.0,-5.0
0.01,X,12,-5.0,-5.0
0.01,X,13,-5.0,-5.0
0.01,X,14,-5.0,-5.0
0.01,X,15,-5.0,-5.0
0.01,X,16,-5.0,-5.0
0.01,X,17,-5.0,-5.0
0.01,X,18,-5.0,-5.0
0.01,X,19,-5.0,-5.0
0.01,X,20,-5.0,-5.0
0.01,X,21,-5.0,-5.0
0.01,X,22,-5.0,-5.0
0.01,X,23,-5.0,-5.0
0.01,X,24,-5.0,-5.0
0.01,X,25,-5.0,-5.0
0.01,X,26,-5.0,-5.0
0.01,X,27,-5.0,-5.0
0.01,X,28,-5.0,-5.0
0.01,X,29,-5.0,-5.0
0.01,X,30,-5.0,-5.0
0.01,X,31,-5.0,-5.0
0.01,X,32,-5.0,-5.0
0.01,X,33,-5.0,-5.0
0.01,X,34,-5.0,-5.0
0.01,X,35,-5.0,-5.0
0.01,X,36,-5.0,-5.0
0.01,X,37,-5.0,-5.0
0.01,X,38,-5.0,-5.0
0.01,X,39,-5.0,-5.0
0.01,X,40,-5.0,-5.0
0.01,X,41,-5.0,-5.0
0.01,X,42,-5.0,-5.0
0.01,X,43,-5.0,-5.0
0.01,X,44,-5.0,-5.0
0.01,X,45,-5.0,-5.0
0.01,X,46,-5.0,-5.0
0.01,X,47,-5.0,-5.0
0.01,X,48,-5.0,-5.0
0.01,X,49,-5.0,-5.0
0.01,X,50,-5.0,-5.0
0.01,X,51,-5.0,-5.0
0.01,X,52,-5.0,-5.0
0.01,X,53,-5.0,-5.0
0.01,X,54,-5.0,-5.0
0.01,X,55,-5.0,-5.0
0.01,X,56,-5.0,-5.0
0.01,X,57,-5.0,-5.0
0.01,X,58,-5.0,-5.0
0.01,X,59,-5.0,-5.0
0.01,X,60,-5.0,-5.0
0.01,X,61,-5.0,-5.0
0.01,X,62,-5.0,-5.0
0.01,X,63,-5.0,-5.0
0.01,X,64,-5.0,-5.0
0.01,X,65,-5.0,-5.0
0.01,X,66,-5.0,-5.0
0.01,X,67,-5.0,-5.0
0.01,X,68,-5.0,-5.0
0.01,X,69,-5.0,-5.0
0.01,X,70,-5.0,-5.0
0.01,X,71,-5.0,-5.0
0.01,X,72,-5.0,-5.0
0.01,X,73,-5.0,-5.0
0.01,X,74,-5.0,-5.0
0.01,X,75,-5.0,-5.0
0.01,X,76,-5.0,-5.0
0.01,X,77,-5.0,-5.0
0.01,X,78,-5.0,-5.0
0.01,X,79,-5.0,-5.0
0.01,X,80,-5.0,-5.0
0.01,X,81,-5.0,-5.0
0.01,X,82,-5.0,-5.0
0.01,X,83,-5.0,-5.0
0.01,X,84,-5.0,-5.0
0.01,X,85,-5.0,-5.0
0.01,X,86,-5.0,-5.0
0.01,X,87,-5.0,-5.0
0.01,X,88,-5.0,-5.0
0.01,X,89,-5.0,-5.0
0.01,X,90,-5.0,-5.0
0.01,X,91,-5.0,-5.0
0.01,X,92,-5.0,-5.0
0.01,X,93,-5.0,-5.0
0.01,X,94,-5.0,-5.0
0.01,X,95,-5.0,-5.0
0.01,X,96,-5.0,-5.0
0.01,X,97,-5.0,-5.0
0.01,X,98,-5.0,-5.0
0.01,X,99,-5.0,-5.0
0.01,X,100,-5.0,-5.0
0.01,X,101,-5.0,-5.0
0.01,X,102,-5.0,-5.0
0.01,X,103,-5.0,-5.0
0.01,X,104,-5.0,-5.0
0.01,X,105,-5.0,-5.0
0.01,X,106,-5.0,-5.0
0.01,X,107,-5.0,-5.0
0.01,X,108,-5.0,-5.0
0.01,X,109,-5.0,-5.0
0.01,X,110,-5.0,-5.0
0.01,X,111,-5.0,-5.0
0.01,X,112,-5.0,-5.0
0.01,X,113,-5.0,-5.0
0.01,X,114,-5.0,-5.0
0.01,X,115,-5.0,-5.0
0.01,X,116,-5.0,-5.0
0.01,X,117,-5.0,-5.0
0.01,X,118,-5.0,-5.0
0.01,X,119,-5.0,-5.0
0.01,X,120,-5.0,-5.0
0.01,X,121,-5.0,-5.0
0.01,X,122,-5.0,-5.0
0.01,X,123,-5.0,-5.0
0.01,X,124,-5.0,-5.0
0.01,X,125,-5.0,-5.0
0.01,X,126,-5.0,-5.0
0.01,X,127,-5.0,-5.0
0.01,X,128,-5.0,-5.0
0.01,X,129,-5.0,-5.0
0.01,X,130,-5.0,-5.0
0.01,X,131,-5.0,-5.0
0.01,X,132,-5.0,-5.0
0.01,X,133,-5.0,-5.0
0.01,X,134,-5.0,-5.0
0.01,X,135,-5.0,-5.0
0.01,X,136,-5.0,-5.0
0.01,X,137,-5.0,-5.0
0.01,X,138,-5.0,-5.0
0.01,X,139,-5.0,-5.0
0.01,X,140,-5.0,-5.0
0.01,X,141,-5.0,-5.0
0.01,X,142,-5.0,-5.0
0.01,X,143,-5.0,-5.0
0.01,X,144,-5.0,-5.0
0.01,X,145,-5.0,-5.0
0.01,X,146,-5.0,-5.0
0.01,X,147,-5.0,-5.0
0.01,X,148,-5.0,-5.0
0.01,X,149,-5.0,-5.0
0.01,X,150,-5.0,-5.0
0.01,X,151,-5.0,-5.0
0.01,X,152,-5.0,-5.0
0.01,X,153,-5.0,-5.0
0.01,X,154,-5.0,-5.0
0.01,X,155,-5.0,-5.0
0.01,X,156,-5.0,-5.0
0.01,X,157,-5.0,-5.0
0.01,X,158,-5.0,-5.0
0.01,X,159,-5.0,-5.0
0.01,X,160,-5.0,-5.0
0.01,X,161,-5.0,-5.0
0.01,X,162,-5.0,-5.0
0.01,X,163,-5.0,-5.0
0.01,X,164,-5.0,-5.0
0.01,X,165,-5.0,-5.0
0.01,X,166,-5.0,-5.0
0.01,X,167,-5.0,-5.0
0.01,X,168,-5.0,-5.0
0.01,X,169,-5.0,-5.0
0.01,X,170,-5.0,-5.0
0.01,X,171,-5.0,-5.0
0.01,X,172,-5.0,-5.0
0.01,X,173,-5.0,-5.0
0.01,X,174,-5.0,-5.0
0.01,X,175,-5.0,-5.0
0.01,X,176,-5.0,-5.0
0.01,X,177,-5.0,-5.0
0.01,X,178,-5.0,-5.0
0.01,X,179,-5.0,-5.0
0.01,X,180,-5.0,-5.0
0.01,X,181,-5.0,-5.0
0.01,X,182,-5.0,-5.0
0.01,X,183,-5.0,-5.0
0.01,X,184,-5.0,-5.0
0.01,X,185,-5.0,-5.0
0.01,X,186,-5.0,-5.0
0.01,X,187,-5.0,-5.0
0.01,X,188,-5.0,-5.0
0.01,X,189,-5.0,-5.0
0.01,X,190,-5.0,-5.0
0.01,X,191,-5.0,-5.0
0.01,X,192,-5.0,-5.0
0.01,X,193,-5.0,-5.0
0.01,X,194,-5.0,-5.0
0.01,X,195,-5.0,-5.0
0.01,X,196,-5.0,-5.0
0.01,X,197,-5.0,-5.0
0.01,X,198,-5.0,-5.0
0.01,X,199,-5.0,-5.0
0.01,X,200,-5.0,-5.0
0.01,X,201,-5.0,-5.0
0.01,X,202,-5.0,-5.0
0.01,X,203,-5.0,-5.0
0.01,X,204,-5.0,-5.0
0.01,X,205,-5.0,-5.0
0.01,X,206,-5.0,-5.0
0.01,X,207,-5.0,-5.0
0.01,X,208,-5.0,-5.0
0.01,X,209,-5.0,-5.0
0.01,X,210,-5.0,-5.0
0.01,X,211,-5.0,-5.0
0.01,X,212,-5.0,-5.0
0.01,X,213,-5.0,-5.0
0.01,X,214,-5.0,-5.0
0.01,X,215,-5.0,-5.0
0.01,X,216,-5.0,-5.0
0.01,X,217,-5.0,-5.0
0.01,X,218,-5.0,-5.0
0.01,X,219,-5.0,-5.0
0.01,X,220,-5.0,-5.0
0.01,X,221,-5.0,-5.0
0.01,X,222,-5.0,-5.0
0.01,X,223,-5.0,-5.0
0.01,X,224,-5.0,-5.0
0.01,X,225,-5.0,-5.0
0.01,X,226,-5.0,-5.0
0.01,X,227,-5.0,-5.0
0.01,X,228,-5.0,-5.0
0.01,X,229,-5.0,-5.0
0.01,X,230,-5.0,-5.0
0.01,X,231,-5.0,-5.0
0.01,X,232,-5.0,-5.0
0.01,X,233,-5.0,-5.0
0.01,X,234,-5.0,-5.0
0.01,X,235,-5.0,-5.0
0.01,X,236,-5.0,-5.0
0.01,X,237,-5.0,-5.0
0.01,X,238,-5.0,-5.0
0.01,X,239,-5.0,-5.0
0.01,X,240,-5.0,-5.0
0.01,X,241,-5.0,-5.0
0.01,X,242,-5.0,-5.0
0.01,X,243,-5.0,-5.0
0.01,X,244,-5.0,-5.0
0.01,X,245,-5.0,-5.0
0.01,X,246,-5.0,-5.0
0.01,X,247,-5.0,-5.0
0.01,X,248,-5.0,-5.0
0.01,X,249,-5.0,-5.0
0.01,X,250,-5.0,-5.0
0.01,X,251,-5.0,-5.0
0.01,X,252,-5.0,-5.0
0.01,X,253,-5.0,-5.0
