alpha,space,cell_idx,kl_div,lipschitz
0.01,X,0,0.03399881720542908,2.0592145919799805
0.01,X,1,0.07890677452087402,2.172240734100342
0.01,X,2,33.21274948120117,0.3742814362049103
0.01,X,3,3.971284866333008,3.4075005054473877
0.01,X,4,22.94228744506836,0.3967615067958832
0.01,X,5,0.01380386482924223,1.0943777561187744
0.01,X,6,0.08308400958776474,1.0642668008804321
0.01,X,7,3.7491657733917236,4.73867654800415
0.01,X,8,-5.0,-5.0
0.01,X,9,-5.0,-5.0
0.01,X,10,-5.0,-5.0
0.01,X,11,-5.0,-5.0
0.01,X,12,-5.0,-5.0
0.01,X,13,-5.0,-5.0
0.01,X,14,-5.0,-5.0
0.01,X,15,-5.0,-5.0
0.01,X,16,-5.0,-5.0
0.01,X,17,-5.0,-5.0
0.01,X,18,-5.0,-5.0
0.01,X,19,-5.0,-5.0
0.01,X,20,-5.0,-5.0
0.01,X,21,-5.0,-5.0
0.01,X,22,-5.0,-5.0
0.01,X,23,-5.0,-5.0
0.01,X,24,-5.0,-5.0
0.01,X,25,-5.0,-5.0
0.01,X,26,-5.0,-5.0
0.01,X,27,-5.0,-5.0
0.01,X,28,-5.0,-5.0
0.01,X,29,-5.0,-5.0
0.01,X,30,-5.0,-5.0
0.01,X,31,-5.0,-5.0
0.01,X,32,-5.0,-5.0
0.01,X,33,-5.0,-5.0
0.01,X,34,-5.0,-5.0
0.01,X,35,-5.0,-5.0
0.01,X,36,-5.0,-5.0
0.01,X,37,-5.0,-5.0
0.01,X,38,-5.0,-5.0
0.01,X,39,-5.0,-5.0
0.01,X,40,-5.0,-5.0
0.01,X,41,-5.0,-5.0
0.01,X,42,-5.0,-5.0
0.01,X,43,-5.0,-5.0
0.01,X,44,-5.0,-5.0
0.01,X,45,-5.0,-5.0
0.01,X,46,-5.0,-5.0
0.01,X,47,-5.0,-5.0
0.01,X,48,-5.0,-5.0
0.01,X,49,-5.0,-5.0
0.01,X,50,-5.0,-5.0
0.01,X,51,-5.0,-5.0
0.01,X,52,-5.0,-5.0
0.01,X,53,-5.0,-5.0
0.01,X,54,-5.0,-5.0
0.01,X,55,-5.0,-5.0
0.01,X,56,-5.0,-5.0
0.01,X,57,-5.0,-5.0
0.01,X,58,-5.0,-5.0
0.01,X,59,-5.0,-5.0
0.01,X,60,-5.0,-5.0
0.01,X,61,-5.0,-5.0
0.01,X,62,-5.0,-5.0
0.01,X,63,-5.0,-5.0
0.01,X,64,-5.0,-5.0
0.01,X,65,-5.0,-5.0
0.01,X,66,-5.0,-5.0
0.01,X,67,-5.0,-5.0
0.01,X,68,-5.0,-5.0
0.01,X,69,-5.0,-5.0
0.01,X,70,-5.0,-5.0
0.01,X,71,-5.0,-5.0
0.01,X,72,-5.0,-5.0
0.01,X,73,-5.0,-5.0
0.01,X,74,-5.0,-5.0
0.01,X,75,-5.0,-5.0
0.01,X,76,-5.0,-5.0
0.01,X,77,-5.0,-5.0
0.01,X,78,-5.0,-5.0
0.01,X,79,-5.0,-5.0
0.01,X,80,-5.0,-5.0
0.01,X,81,-5.0,-5.0
0.01,X,82,-5.0,-5.0
0.01,X,83,-5.0,-5.0
0.01,X,84,-5.0,-5.0
0.01,X,85,-5.0,-5.0
0.01,X,86,-5.0,-5.0
0.01,X,87,-5.0,-5.0
0.01,X,88,-5.0,-5.0
0.01,X,89,-5.0,-5.0
0.01,X,90,-5.0,-5.0
0.01,X,91,-5.0,-5.0
0.01,X,92,-5.0,-5.0
0.01,X,93,-5.0,-5.0
0.01,X,94,-5.0,-5.0
0.01,X,95,-5.0,-5.0
0.01,X,96,-5.0,-5.0
0.01,X,97,-5.0,-5.0
0.01,X,98,-5.0,-5.0
0.01,X,99,-5.0,-5.0
0.01,X,100,-5.0,-5.0
0.01,X,101,-5.0,-5.0
0.01,X,102,-5.0,-5.0
0.01,X,103,-5.0,-5.0
0.01,X,104,-5.0,-5.0
0.01,X,105,-5.0,-5.0
0.01,X,106,-5.0,-5.0
0.01,X,107,-5.0,-5.0
0.01,X,108,-5.0,-5.0
0.01,X,109,-5.0,-5.0
0.01,X,110,-5.0,-5.0
0.01,X,111,-5.0,-5.0
0.01,X,112,-5.0,-5.0
0.01,X,113,-5.0,-5.0
0.01,X,114,-5.0,-5.0
0.01,X,115,-5.0,-5.0
0.01,X,116,-5.0,-5.0
0.01,X,117,-5.0,-5.0
0.01,X,118,-5.0,-5.0
0.01,X,119,-5.0,-5.0
0.01,X,120,-5.0,-5.0
0.01,X,121,-5.0,-5.0
0.01,X,122,-5.0,-5.0
0.01,X,123,-5.0,-5.0
0.01,X,124,-5.0,-5.0
0.01,X,125,-5.0,-5.0
0.01,X,126,-5.0,-5.0
0.01,X,127,-5.0,-5.0
0.01,X,128,-5.0,-5.0
0.01,X,129,-5.0,-5.0
0.01,X,130,-5.0,-5.0
0.01,X,131,-5.0,-5.0
0.01,X,132,-5.0,-5.0
0.01,X,133,-5.0,-5.0
0.01,X,134,-5.0,-5.0
0.01,X,135,-5.0,-5.0
0.01,X,136,-5.0,-5.0
0.01,X,137,-5.0,-5.0
0.01,X,138,-5.0,-5.0
0.01,X,139,-5.0,-5.0
0.01,X,140,-5.0,-5.0
0.01,X,141,-5.0,-5.0
0.01,X,142,-5.0,-5.0
0.01,X,143,-5.0,-5.0
0.01,X,144,-5.0,-5.0
0.01,X,145,-5.0,-5.0
0.01,X,146,-5.0,-5.0
0.01,X,147,-5.0,-5.0
0.01,X,148,-5.0,-5.0
0.01,X,149,-5.0,-5.0
0.01,X,150,-5.0,-5.0
0.01,X,151,-5.0,-5.0
0.01,X,152,-5.0,-5.0
0.01,X,153,-5.0,-5.0
0.01,X,154,-5.0,-5.0
0.01,X,155,-5.0,-5.0
0.01,X,156,-5.0,-5.0
0.01,X,157,-5.0,-5.0
0.01,X,158,-5.0,-5.0
0.01,X,159,-5.0,-5.0
0.01,X,160,-5.0,-5.0
0.01,X,161,-5.0,-5.0
0.01,X,162,-5.0,-5.0
0.01,X,163,-5.0,-5.0
0.01,X,164,-5.0,-5.0
0.01,X,165,-5.0,-5.0
0.01,X,166,-5.0,-5.0
0.01,X,167,-5.0,-5.0
0.01,X,168,-5.0,-5.0
0.01,X,169,-5.0,-5.0
0.01,X,170,-5.0,-5.0
0.01,X,171,-5.0,-5.0
0.01,X,172,-5.0,-5.0
0.01,X,173,-5.0,-5.0
0.01,X,174,-5.0,-5.0
0.01,X,175,-5.0,-5.0
0.01,X,176,-5.0,-5.0
0.01,X,177,-5.0,-5.0
0.01,X,178,-5.0,-5.0
0.01,X,179,-5.0,-5.0
0.01,X,180,-5.0,-5.0
0.01,X,181,-5.0,-5.0
0.01,X,182,-5.0,-5.0
0.01,X,183,-5.0,-5.0
0.01,X,184,-5.0,-5.0
0.01,X,185,-5.0,-5.0
0.01,X,186,-5.0,-5.0
0.01,X,187,-5.0,-5.0
0.01,X,188,-5.0,-5.0
0.01,X,189,-5.0,-5.0
0.01,X,190,-5.0,-5.0
0.01,X,191,-5.0,-5.0
0.01,X,192,-5.0,-5.0
0.01,X,193,-5.0,-5.0
0.01,X,194,-5.0,-5.0
