alpha,space,cell_idx,kl_div,lipschitz
0.3,X,0,0.023212168365716934,3.0520071983337402
0.3,X,1,20.512100219726562,2.55387282371521
0.3,X,2,2.2582480907440186,6.993041515350342
0.3,X,3,4.426987648010254,2.3964545726776123
0.3,X,4,11.999542236328125,1.0953891277313232
0.3,X,5,18.59576416015625,3.2672441005706787
0.3,X,6,17.175487518310547,1.0880070924758911
0.3,X,7,6.736177444458008,4.578896522521973
0.3,X,8,-5.0,-5.0
0.3,X,9,-5.0,-5.0
0.3,X,10,-5.0,-5.0
0.3,X,11,-5.0,-5.0
0.3,X,12,-5.0,-5.0
0.3,X,13,-5.0,-5.0
0.3,X,14,-5.0,-5.0
0.3,X,15,-5.0,-5.0
0.3,X,16,-5.0,-5.0
0.3,X,17,-5.0,-5.0
0.3,X,18,-5.0,-5.0
0.3,X,19,-5.0,-5.0
0.3,X,20,-5.0,-5.0
0.3,X,21,-5.0,-5.0
0.3,X,22,-5.0,-5.0
0.3,X,23,-5.0,-5.0
0.3,X,24,-5.0,-5.0
0.3,X,25,-5.0,-5.0
0.3,X,26,-5.0,-5.0
0.3,X,27,-5.0,-5.0
0.3,X,28,-5.0,-5.0
0.3,X,29,-5.0,-5.0
0.3,X,30,-5.0,-5.0
0.3,X,31,-5.0,-5.0
0.3,X,32,-5.0,-5.0
0.3,X,33,-5.0,-5.0
0.3,X,34,-5.0,-5.0
0.3,X,35,-5.0,-5.0
0.3,X,36,-5.0,-5.0
0.3,X,37,-5.0,-5.0
0.3,X,38,-5.0,-5.0
0.3,X,39,-5.0,-5.0
0.3,X,40,-5.0,-5.0
0.3,X,41,-5.0,-5.0
0.3,X,42,-5.0,-5.0
0.3,X,43,-5.0,-5.0
0.3,X,44,-5.0,-5.0
0.3,X,45,-5.0,-5.0
0.3,X,46,-5.0,-5.0
0.3,X,47,-5.0,-5.0
0.3,X,48,-5.0,-5.0
0.3,X,49,-5.0,-5.0
0.3,X,50,-5.0,-5.0
0.3,X,51,-5.0,-5.0
0.3,X,52,-5.0,-5.0
0.3,X,53,-5.0,-5.0
0.3,X,54,-5.0,-5.0
0.3,X,55,-5.0,-5.0
0.3,X,56,-5.0,-5.0
0.3,X,57,-5.0,-5.0
0.3,X,58,-5.0,-5.0
0.3,X,59,-5.0,-5.0
0.3,X,60,-5.0,-5.0
0.3,X,61,-5.0,-5.0
0.3,X,62,-5.0,-5.0
0.3,X,63,-5.0,-5.0
0.3,X,64,-5.0,-5.0
0.3,X,65,-5.0,-5.0
0.3,X,66,-5.0,-5.0
0.3,X,67,-5.0,-5.0
0.3,X,68,-5.0,-5.0
0.3,X,69,-5.0,-5.0
0.3,X,70,-5.0,-5.0
0.3,X,71,-5.0,-5.0
0.3,X,72,-5.0,-5.0
0.3,X,73,-5.0,-5.0
0.3,X,74,-5.0,-5.0
0.3,X,75,-5.0,-5.0
0.3,X,76,-5.0,-5.0
0.3,X,77,-5.0,-5.0
0.3,X,78,-5.0,-5.0
0.3,X,79,-5.0,-5.0
0.3,X,80,-5.0,-5.0
0.3,X,81,-5.0,-5.0
0.3,X,82,-5.0,-5.0
0.3,X,83,-5.0,-5.0
0.3,X,84,-5.0,-5.0
0.3,X,85,-5.0,-5.0
0.3,X,86,-5.0,-5.0
0.3,X,87,-5.0,-5.0
0.3,X,88,-5.0,-5.0
0.3,X,89,-5.0,-5.0
0.3,X,90,-5.0,-5.0
0.3,X,91,-5.0,-5.0
0.3,X,92,-5.0,-5.0
0.3,X,93,-5.0,-5.0
0.3,X,94,-5.0,-5.0
0.3,X,95,-5.0,-5.0
0.3,X,96,-5.0,-5.0
0.3,X,97,-5.0,-5.0
0.3,X,98,-5.0,-5.0
0.3,X,99,-5.0,-5.0
0.3,X,100,-5.0,-5.0
0.3,X,101,-5.0,-5.0
0.3,X,102,-5.0,-5.0
0.3,X,103,-5.0,-5.0
0.3,X,104,-5.0,-5.0
0.3,X,105,-5.0,-5.0
0.3,X,106,-5.0,-5.0
0.3,X,107,-5.0,-5.0
0.3,X,108,-5.0,-5.0
0.3,X,109,-5.0,-5.0
0.3,X,110,-5.0,-5.0
0.3,X,111,-5.0,-5.0
0.3,X,112,-5.0,-5.0
0.3,X,113,-5.0,-5.0
0.3,X,114,-5.0,-5.0
0.3,X,115,-5.0,-5.0
0.3,X,116,-5.0,-5.0
0.3,X,117,-5.0,-5.0
0.3,X,118,-5.0,-5.0
0.3,X,119,-5.0,-5.0
0.3,X,120,-5.0,-5.0
0.3,X,121,-5.0,-5.0
0.3,X,122,-5.0,-5.0
0.3,X,123,-5.0,-5.0
0.3,X,124,-5.0,-5.0
0.3,X,125,-5.0,-5.0
0.3,X,126,-5.0,-5.0
0.3,X,127,-5.0,-5.0
0.3,X,128,-5.0,-5.0
0.3,X,129,-5.0,-5.0
0.3,X,130,-5.0,-5.0
0.3,X,131,-5.0,-5.0
0.3,X,132,-5.0,-5.0
0.3,X,133,-5.0,-5.0
0.3,X,134,-5.0,-5.0
0.3,X,135,-5.0,-5.0
0.3,X,136,-5.0,-5.0
0.3,X,137,-5.0,-5.0
0.3,X,138,-5.0,-5.0
0.3,X,139,-5.0,-5.0
0.3,X,140,-5.0,-5.0
0.3,X,141,-5.0,-5.0
0.3,X,142,-5.0,-5.0
0.3,X,143,-5.0,-5.0
0.3,X,144,-5.0,-5.0
0.3,X,145,-5.0,-5.0
0.3,X,146,-5.0,-5.0
0.3,X,147,-5.0,-5.0
0.3,X,148,-5.0,-5.0
0.3,X,149,-5.0,-5.0
0.3,X,150,-5.0,-5.0
0.3,X,151,-5.0,-5.0
0.3,X,152,-5.0,-5.0
0.3,X,153,-5.0,-5.0
0.3,X,154,-5.0,-5.0
0.3,X,155,-5.0,-5.0
0.3,X,156,-5.0,-5.0
0.3,X,157,-5.0,-5.0
0.3,X,158,-5.0,-5.0
0.3,X,159,-5.0,-5.0
0.3,X,160,-5.0,-5.0
0.3,X,161,-5.0,-5.0
0.3,X,162,-5.0,-5.0
0.3,X,163,-5.0,-5.0
0.3,X,164,-5.0,-5.0
0.3,X,165,-5.0,-5.0
0.3,X,166,-5.0,-5.0
0.3,X,167,-5.0,-5.0
0.3,X,168,-5.0,-5.0
0.3,X,169,-5.0,-5.0
0.3,X,170,-5.0,-5.0
0.3,X,171,-5.0,-5.0
0.3,X,172,-5.0,-5.0
0.3,X,173,-5.0,-5.0
0.3,X,174,-5.0,-5.0
0.3,X,175,-5.0,-5.0
0.3,X,176,-5.0,-5.0
0.3,X,177,-5.0,-5.0
0.3,X,178,-5.0,-5.0
0.3,X,179,-5.0,-5.0
0.3,X,180,-5.0,-5.0
0.3,X,181,-5.0,-5.0
0.3,X,182,-5.0,-5.0
0.3,X,183,-5.0,-5.0
0.3,X,184,-5.0,-5.0
0.3,X,185,-5.0,-5.0
0.3,X,186,-5.0,-5.0
0.3,X,187,-5.0,-5.0
0.3,X,188,-5.0,-5.0
0.3,X,189,-5.0,-5.0
0.3,X,190,-5.0,-5.0
0.3,X,191,-5.0,-5.0
0.3,X,192,-5.0,-5.0
0.3,X,193,-5.0,-5.0
0.3,X,194,-5.0,-5.0
0.3,X,195,-5.0,-5.0
0.3,X,196,-5.0,-5.0
0.3,X,197,-5.0,-5.0
0.3,X,198,-5.0,-5.0
0.3,X,199,-5.0,-5.0
0.3,X,200,-5.0,-5.0
0.3,X,201,-5.0,-5.0
0.3,X,202,-5.0,-5.0
0.3,X,203,-5.0,-5.0
0.3,X,204,-5.0,-5.0
0.3,X,205,-5.0,-5.0
0.3,X,206,-5.0,-5.0
0.3,X,207,-5.0,-5.0
0.3,X,208,-5.0,-5.0
0.3,X,209,-5.0,-5.0
0.3,X,210,-5.0,-5.0
0.3,X,211,-5.0,-5.0
0.3,X,212,-5.0,-5.0
0.3,X,213,-5.0,-5.0
0.3,X,214,-5.0,-5.0
0.3,X,215,-5.0,-5.0
0.3,X,216,-5.0,-5.0
0.3,X,217,-5.0,-5.0
0.3,X,218,-5.0,-5.0
0.3,X,219,-5.0,-5.0
0.3,X,220,-5.0,-5.0
0.3,X,221,-5.0,-5.0
0.3,X,222,-5.0,-5.0
0.3,X,223,-5.0,-5.0
0.3,X,224,-5.0,-5.0
0.3,X,225,-5.0,-5.0
0.3,X,226,-5.0,-5.0
0.3,X,227,-5.0,-5.0
0.3,X,228,-5.0,-5.0
0.3,X,229,-5.0,-5.0
0.3,X,230,-5.0,-5.0
0.3,X,231,-5.0,-5.0
0.3,X,232,-5.0,-5.0
0.3,X,233,-5.0,-5.0
0.3,X,234,-5.0,-5.0
0.3,X,235,-5.0,-5.0
0.3,X,236,-5.0,-5.0
0.3,X,237,-5.0,-5.0
0.3,X,238,-5.0,-5.0
0.3,X,239,-5.0,-5.0
0.3,X,240,-5.0,-5.0
0.3,X,241,-5.0,-5.0
0.3,X,242,-5.0,-5.0
0.3,X,243,-5.0,-5.0
0.3,X,244,-5.0,-5.0
0.3,X,245,-5.0,-5.0
0.3,X,246,-5.0,-5.0
0.3,X,247,-5.0,-5.0
0.3,X,248,-5.0,-5.0
0.3,X,249,-5.0,-5.0
0.3,X,250,-5.0,-5.0
0.3,X,251,-5.0,-5.0
0.3,X,252,-5.0,-5.0
0.3,X,253,-5.0,-5.0
0.3,X,254,-5.0,-5.0
0.3,X,255,-5.0,-5.0
0.3,Z,0,0.04323412850499153,1.0
0.3,Z,1,0.043413661420345306,0.17408861219882965
0.3,Z,2,0.04558195173740387,0.18973691761493683
0.3,Z,3,0.04688830301165581,0.36184924840927124
0.3,Z,4,0.047532591968774796,1.0
0.3,Z,5,0.045671891421079636,0.33553817868232727
0.3,Z,6,0.0437486432492733,0.2999406158924103
0.3,Z,7,0.10360750555992126,0.26376181840896606
0.3,Z,8,0.2506975531578064,1.0
0.3,Z,9,0.40026167035102844,0.2128642201423645
0.3,Z,10,0.4212552309036255,0.25077226758003235
0.3,Z,11,0.45201361179351807,0.30758151412010193
0.3,Z,12,0.5513178706169128,0.5827749371528625
0.3,Z,13,0.7569540739059448,0.7700955867767334
0.3,Z,14,1.1621007919311523,1.9603087902069092
0.3,Z,15,2.0972893238067627,2.247330665588379
0.3,Z,16,0.043158482760190964,0.0024691408034414053
0.3,Z,17,0.04326613247394562,0.124757319688797
0.3,Z,18,0.04525429755449295,0.1683548241853714
0.3,Z,19,0.04656723886728287,1.0
0.3,Z,20,0.04760238528251648,1.0
0.3,Z,21,0.04588662087917328,1.0
0.3,Z,22,0.04323090612888336,0.30197855830192566
0.3,Z,23,0.08129754662513733,0.2646232545375824
0.3,Z,24,0.22441750764846802,0.25636664032936096
0.3,Z,25,0.39187946915626526,0.2097872495651245
0.3,Z,26,0.42012324929237366,0.2201836258172989
0.3,Z,27,0.44429656863212585,1.0
0.3,Z,28,0.530244767665863,0.6164586544036865
0.3,Z,29,0.7288032174110413,1.0
0.3,Z,30,1.0553337335586548,1.7069497108459473
0.3,Z,31,1.9963130950927734,2.2137608528137207
0.3,Z,32,0.042257022112607956,0.21523290872573853
0.3,Z,33,0.04194625839591026,0.2255251705646515
0.3,Z,34,0.043518226593732834,0.23325759172439575
0.3,Z,35,0.045079246163368225,0.26479724049568176
0.3,Z,36,0.045793283730745316,0.4034844934940338
0.3,Z,37,0.04348151758313179,0.424811452627182
0.3,Z,38,0.04061621055006981,0.3737486004829407
0.3,Z,39,0.07140959799289703,0.3093925714492798
0.3,Z,40,0.19587509334087372,0.3002816140651703
0.3,Z,41,0.3797357976436615,0.25147026777267456
0.3,Z,42,0.4265800416469574,0.2508613169193268
0.3,Z,43,0.44234225153923035,0.27542737126350403
0.3,Z,44,0.5130552649497986,1.0
0.3,Z,45,0.6954883933067322,1.0002151727676392
0.3,Z,46,1.0068129301071167,1.615745186805725
0.3,Z,47,1.8243762254714966,2.383112907409668
0.3,Z,48,0.0363624170422554,0.3386956453323364
0.3,Z,49,0.03600745648145676,0.3370700180530548
0.3,Z,50,0.03642921522259712,0.3560238182544708
0.3,Z,51,0.03755519911646843,0.3408917188644409
0.3,Z,52,0.03827737644314766,0.4122869074344635
0.3,Z,53,0.03667067736387253,1.0
0.3,Z,54,0.03483796492218971,1.0
0.3,Z,55,0.05728190392255783,1.0
0.3,Z,56,0.19437704980373383,1.0
0.3,Z,57,0.36839187145233154,0.2516739070415497
0.3,Z,58,0.4359591603279114,1.0
0.3,Z,59,0.44573965668678284,0.2682547867298126
0.3,Z,60,0.5082646012306213,0.34247806668281555
0.3,Z,61,0.6558780670166016,1.0
0.3,Z,62,0.9917210340499878,1.3691892623901367
0.3,Z,63,1.7601206302642822,2.380573272705078
0.3,Z,64,0.02915988862514496,0.3544972836971283
0.3,Z,65,0.028989477083086967,0.37266233563423157
0.3,Z,66,0.028767656534910202,0.3606176972389221
0.3,Z,67,0.029379958286881447,0.37224081158638
0.3,Z,68,0.030944570899009705,0.3799940347671509
0.3,Z,69,0.030522683635354042,0.45282432436943054
0.3,Z,70,0.029432982206344604,0.3681439459323883
0.3,Z,71,0.04088297113776207,1.0
0.3,Z,72,0.18150296807289124,0.3072768449783325
0.3,Z,73,0.3724876940250397,0.2755875885486603
0.3,Z,74,0.44833388924598694,0.2971315085887909
0.3,Z,75,0.454397052526474,0.33042946457862854
0.3,Z,76,0.5111509561538696,0.40088751912117004
0.3,Z,77,0.6483944654464722,1.0
0.3,Z,78,0.9707373380661011,1.366309404373169
0.3,Z,79,1.6548203229904175,2.2823386192321777
0.3,Z,80,0.024462752044200897,1.0
0.3,Z,81,0.024221057072281837,0.4022827744483948
0.3,Z,82,0.023852819576859474,0.411918967962265
0.3,Z,83,0.023011019453406334,0.4034486413002014
0.3,Z,84,0.023636149242520332,1.0
0.3,Z,85,0.02483367547392845,0.4458106458187103
0.3,Z,86,0.02491462230682373,0.35313689708709717
0.3,Z,87,0.03046351857483387,0.3619171977043152
0.3,Z,88,0.15917478501796722,0.42054957151412964
0.3,Z,89,0.3497924208641052,1.0
0.3,Z,90,0.47087347507476807,0.39847904443740845
0.3,Z,91,0.4772542715072632,0.3831970691680908
0.3,Z,92,0.5159345865249634,0.4153965413570404
