alpha,space,cell_idx,kl_div,lipschitz
0.001,X,0,8.464666366577148,2.294381618499756
0.001,X,1,40.882225036621094,5.067079067230225
0.001,X,2,42.593658447265625,0.9408178329467773
0.001,X,3,38.18129348754883,5.146915912628174
0.001,X,4,0.11703914403915405,1.8670612573623657
0.001,X,5,41.66022491455078,0.9228477478027344
0.001,X,6,33.82667541503906,0.7690848708152771
0.001,X,7,0.11486758291721344,1.67014741897583
0.001,X,8,-5.0,-5.0
0.001,X,9,-5.0,-5.0
0.001,X,10,-5.0,-5.0
0.001,X,11,-5.0,-5.0
0.001,X,12,-5.0,-5.0
0.001,X,13,-5.0,-5.0
0.001,X,14,-5.0,-5.0
0.001,X,15,-5.0,-5.0
0.001,X,16,-5.0,-5.0
0.001,X,17,-5.0,-5.0
0.001,X,18,-5.0,-5.0
0.001,X,19,-5.0,-5.0
0.001,X,20,-5.0,-5.0
0.001,X,21,-5.0,-5.0
0.001,X,22,-5.0,-5.0
0.001,X,23,-5.0,-5.0
0.001,X,24,-5.0,-5.0
0.001,X,25,-5.0,-5.0
0.001,X,26,-5.0,-5.0
0.001,X,27,-5.0,-5.0
0.001,X,28,-5.0,-5.0
0.001,X,29,-5.0,-5.0
0.001,X,30,-5.0,-5.0
0.001,X,31,-5.0,-5.0
0.001,X,32,-5.0,-5.0
0.001,X,33,-5.0,-5.0
0.001,X,34,-5.0,-5.0
0.001,X,35,-5.0,-5.0
0.001,X,36,-5.0,-5.0
0.001,X,37,-5.0,-5.0
0.001,X,38,-5.0,-5.0
0.001,X,39,-5.0,-5.0
0.001,X,40,-5.0,-5.0
0.001,X,41,-5.0,-5.0
0.001,X,42,-5.0,-5.0
0.001,X,43,-5.0,-5.0
0.001,X,44,-5.0,-5.0
0.001,X,45,-5.0,-5.0
0.001,X,46,-5.0,-5.0
0.001,X,47,-5.0,-5.0
0.001,X,48,-5.0,-5.0
0.001,X,49,-5.0,-5.0
0.001,X,50,-5.0,-5.0
0.001,X,51,-5.0,-5.0
0.001,X,52,-5.0,-5.0
0.001,X,53,-5.0,-5.0
