alpha,space,cell_idx,kl_div,lipschitz
0.3,X,0,365.643310546875,0.24766123294830322
0.3,X,1,907.60205078125,0.5412688851356506
0.3,X,2,2235.985595703125,1.0
0.3,X,3,869.4984130859375,0.5564225912094116
0.3,X,4,1980.0048828125,0.20368178188800812
0.3,X,5,947.19970703125,1.0
0.3,X,6,54.935028076171875,0.3584989011287689
0.3,X,7,766.507568359375,0.1588166058063507
0.3,X,8,-5.0,-5.0
0.3,X,9,-5.0,-5.0
0.3,X,10,-5.0,-5.0
0.3,X,11,-5.0,-5.0
0.3,X,12,-5.0,-5.0
0.3,X,13,-5.0,-5.0
0.3,X,14,-5.0,-5.0
0.3,X,15,-5.0,-5.0
0.3,X,16,-5.0,-5.0
0.3,X,17,-5.0,-5.0
0.3,X,18,-5.0,-5.0
0.3,X,19,-5.0,-5.0
0.3,X,20,-5.0,-5.0
0.3,X,21,-5.0,-5.0
0.3,X,22,-5.0,-5.0
0.3,X,23,-5.0,-5.0
0.3,X,24,-5.0,-5.0
0.3,X,25,-5.0,-5.0
0.3,X,26,-5.0,-5.0
0.3,X,27,-5.0,-5.0
0.3,X,28,-5.0,-5.0
0.3,X,29,-5.0,-5.0
0.3,X,30,-5.0,-5.0
0.3,X,31,-5.0,-5.0
0.3,X,32,-5.0,-5.0
0.3,X,33,-5.0,-5.0
0.3,X,34,-5.0,-5.0
0.3,X,35,-5.0,-5.0
0.3,X,36,-5.0,-5.0
0.3,X,37,-5.0,-5.0
0.3,X,38,-5.0,-5.0
0.3,X,39,-5.0,-5.0
0.3,X,40,-5.0,-5.0
0.3,X,41,-5.0,-5.0
0.3,X,42,-5.0,-5.0
0.3,X,43,-5.0,-5.0
0.3,X,44,-5.0,-5.0
0.3,X,45,-5.0,-5.0
0.3,X,46,-5.0,-5.0
0.3,X,47,-5.0,-5.0
0.3,X,48,-5.0,-5.0
0.3,X,49,-5.0,-5.0
0.3,X,50,-5.0,-5.0
0.3,X,51,-5.0,-5.0
0.3,X,52,-5.0,-5.0
0.3,X,53,-5.0,-5.0
0.3,X,54,-5.0,-5.0
0.3,X,55,-5.0,-5.0
0.3,X,56,-5.0,-5.0
0.3,X,57,-5.0,-5.0
0.3,X,58,-5.0,-5.0
0.3,X,59,-5.0,-5.0
0.3,X,60,-5.0,-5.0
0.3,X,61,-5.0,-5.0
0.3,X,62,-5.0,-5.0
0.3,X,63,-5.0,-5.0
0.3,X,64,-5.0,-5.0
0.3,X,65,-5.0,-5.0
0.3,X,66,-5.0,-5.0
0.3,X,67,-5.0,-5.0
0.3,X,68,-5.0,-5.0
0.3,X,69,-5.0,-5.0
0.3,X,70,-5.0,-5.0
0.3,X,71,-5.0,-5.0
0.3,X,72,-5.0,-5.0
0.3,X,73,-5.0,-5.0
0.3,X,74,-5.0,-5.0
0.3,X,75,-5.0,-5.0
0.3,X,76,-5.0,-5.0
0.3,X,77,-5.0,-5.0
0.3,X,78,-5.0,-5.0
0.3,X,79,-5.0,-5.0
0.3,X,80,-5.0,-5.0
0.3,X,81,-5.0,-5.0
0.3,X,82,-5.0,-5.0
0.3,X,83,-5.0,-5.0
0.3,X,84,-5.0,-5.0
0.3,X,85,-5.0,-5.0
0.3,X,86,-5.0,-5.0
0.3,X,87,-5.0,-5.0
0.3,X,88,-5.0,-5.0
0.3,X,89,-5.0,-5.0
0.3,X,90,-5.0,-5.0
0.3,X,91,-5.0,-5.0
0.3,X,92,-5.0,-5.0
0.3,X,93,-5.0,-5.0
0.3,X,94,-5.0,-5.0
0.3,X,95,-5.0,-5.0
0.3,X,96,-5.0,-5.0
0.3,X,97,-5.0,-5.0
0.3,X,98,-5.0,-5.0
0.3,X,99,-5.0,-5.0
0.3,X,100,-5.0,-5.0
0.3,X,101,-5.0,-5.0
0.3,X,102,-5.0,-5.0
0.3,X,103,-5.0,-5.0
0.3,X,104,-5.0,-5.0
0.3,X,105,-5.0,-5.0
0.3,X,106,-5.0,-5.0
0.3,X,107,-5.0,-5.0
0.3,X,108,-5.0,-5.0
0.3,X,109,-5.0,-5.0
0.3,X,110,-5.0,-5.0
0.3,X,111,-5.0,-5.0
0.3,X,112,-5.0,-5.0
0.3,X,113,-5.0,-5.0
0.3,X,114,-5.0,-5.0
0.3,X,115,-5.0,-5.0
0.3,X,116,-5.0,-5.0
0.3,X,117,-5.0,-5.0
0.3,X,118,-5.0,-5.0
0.3,X,119,-5.0,-5.0
0.3,X,120,-5.0,-5.0
0.3,X,121,-5.0,-5.0
0.3,X,122,-5.0,-5.0
0.3,X,123,-5.0,-5.0
0.3,X,124,-5.0,-5.0
0.3,X,125,-5.0,-5.0
0.3,X,126,-5.0,-5.0
0.3,X,127,-5.0,-5.0
0.3,X,128,-5.0,-5.0
0.3,X,129,-5.0,-5.0
0.3,X,130,-5.0,-5.0
0.3,X,131,-5.0,-5.0
0.3,X,132,-5.0,-5.0
0.3,X,133,-5.0,-5.0
0.3,X,134,-5.0,-5.0
0.3,X,135,-5.0,-5.0
0.3,X,136,-5.0,-5.0
0.3,X,137,-5.0,-5.0
0.3,X,138,-5.0,-5.0
0.3,X,139,-5.0,-5.0
0.3,X,140,-5.0,-5.0
0.3,X,141,-5.0,-5.0
0.3,X,142,-5.0,-5.0
0.3,X,143,-5.0,-5.0
0.3,X,144,-5.0,-5.0
0.3,X,145,-5.0,-5.0
0.3,X,146,-5.0,-5.0
0.3,X,147,-5.0,-5.0
0.3,X,148,-5.0,-5.0
0.3,X,149,-5.0,-5.0
0.3,X,150,-5.0,-5.0
0.3,X,151,-5.0,-5.0
0.3,X,152,-5.0,-5.0
0.3,X,153,-5.0,-5.0
0.3,X,154,-5.0,-5.0
0.3,X,155,-5.0,-5.0
0.3,X,156,-5.0,-5.0
0.3,X,157,-5.0,-5.0
0.3,X,158,-5.0,-5.0
0.3,X,159,-5.0,-5.0
0.3,X,160,-5.0,-5.0
0.3,X,161,-5.0,-5.0
0.3,X,162,-5.0,-5.0
0.3,X,163,-5.0,-5.0
0.3,X,164,-5.0,-5.0
0.3,X,165,-5.0,-5.0
0.3,X,166,-5.0,-5.0
0.3,X,167,-5.0,-5.0
0.3,X,168,-5.0,-5.0
0.3,X,169,-5.0,-5.0
0.3,X,170,-5.0,-5.0
0.3,X,171,-5.0,-5.0
0.3,X,172,-5.0,-5.0
0.3,X,173,-5.0,-5.0
0.3,X,174,-5.0,-5.0
0.3,X,175,-5.0,-5.0
0.3,X,176,-5.0,-5.0
0.3,X,177,-5.0,-5.0
0.3,X,178,-5.0,-5.0
0.3,X,179,-5.0,-5.0
0.3,X,180,-5.0,-5.0
0.3,X,181,-5.0,-5.0
0.3,X,182,-5.0,-5.0
0.3,X,183,-5.0,-5.0
0.3,X,184,-5.0,-5.0
0.3,X,185,-5.0,-5.0
0.3,X,186,-5.0,-5.0
0.3,X,187,-5.0,-5.0
0.3,X,188,-5.0,-5.0
0.3,X,189,-5.0,-5.0
0.3,X,190,-5.0,-5.0
0.3,X,191,-5.0,-5.0
0.3,X,192,-5.0,-5.0
0.3,X,193,-5.0,-5.0
0.3,X,194,-5.0,-5.0
0.3,X,195,-5.0,-5.0
0.3,X,196,-5.0,-5.0
0.3,X,197,-5.0,-5.0
0.3,X,198,-5.0,-5.0
0.3,X,199,-5.0,-5.0
0.3,X,200,-5.0,-5.0
0.3,X,201,-5.0,-5.0
0.3,X,202,-5.0,-5.0
0.3,X,203,-5.0,-5.0
0.3,X,204,-5.0,-5.0
0.3,X,205,-5.0,-5.0
0.3,X,206,-5.0,-5.0
0.3,X,207,-5.0,-5.0
0.3,X,208,-5.0,-5.0
0.3,X,209,-5.0,-5.0
0.3,X,210,-5.0,-5.0
0.3,X,211,-5.0,-5.0
0.3,X,212,-5.0,-5.0
0.3,X,213,-5.0,-5.0
0.3,X,214,-5.0,-5.0
0.3,X,215,-5.0,-5.0
0.3,X,216,-5.0,-5.0
0.3,X,217,-5.0,-5.0
0.3,X,218,-5.0,-5.0
0.3,X,219,-5.0,-5.0
0.3,X,220,-5.0,-5.0
0.3,X,221,-5.0,-5.0
0.3,X,222,-5.0,-5.0
0.3,X,223,-5.0,-5.0
0.3,X,224,-5.0,-5.0
0.3,X,225,-5.0,-5.0
0.3,X,226,-5.0,-5.0
0.3,X,227,-5.0,-5.0
0.3,X,228,-5.0,-5.0
0.3,X,229,-5.0,-5.0
0.3,X,230,-5.0,-5.0
0.3,X,231,-5.0,-5.0
0.3,X,232,-5.0,-5.0
0.3,X,233,-5.0,-5.0
0.3,X,234,-5.0,-5.0
0.3,X,235,-5.0,-5.0
0.3,X,236,-5.0,-5.0
0.3,X,237,-5.0,-5.0
0.3,X,238,-5.0,-5.0
0.3,X,239,-5.0,-5.0
0.3,X,240,-5.0,-5.0
0.3,X,241,-5.0,-5.0
0.3,X,242,-5.0,-5.0
0.3,X,243,-5.0,-5.0
0.3,X,244,-5.0,-5.0
0.3,X,245,-5.0,-5.0
0.3,X,246,-5.0,-5.0
0.3,X,247,-5.0,-5.0
0.3,X,248,-5.0,-5.0
0.3,X,249,-5.0,-5.0
0.3,X,250,-5.0,-5.0
0.3,X,251,-5.0,-5.0
0.3,X,252,-5.0,-5.0
0.3,X,253,-5.0,-5.0
0.3,X,254,-5.0,-5.0
0.3,X,255,-5.0,-5.0
0.3,Z,0,18.019145965576172,1.0
0.3,Z,1,18.41663932800293,1.0
0.3,Z,2,18.763395309448242,0.32546937465667725
0.3,Z,3,19.04359245300293,0.33492279052734375
0.3,Z,4,19.31413459777832,0.3346470892429352
0.3,Z,5,19.590824127197266,0.33313560485839844
0.3,Z,6,19.875404357910156,0.33237552642822266
0.3,Z,7,20.062484741210938,1.0
0.3,Z,8,20.256559371948242,0.3296484053134918
0.3,Z,9,20.553447723388672,0.3245770037174225
0.3,Z,10,21.000761032104492,1.0
0.3,Z,11,21.64449691772461,0.32343024015426636
0.3,Z,12,22.321683883666992,0.3067140281200409
0.3,Z,13,23.4554386138916,0.30143821239471436
0.3,Z,14,25.158939361572266,0.2987607717514038
0.3,Z,15,26.963781356811523,1.0
0.3,Z,16,17.947528839111328,1.0
0.3,Z,17,18.338733673095703,1.0
0.3,Z,18,18.72574234008789,0.3252735733985901
0.3,Z,19,19.07121467590332,0.3272475600242615
0.3,Z,20,19.320899963378906,1.0
0.3,Z,21,19.597620010375977,0.3281984329223633
0.3,Z,22,19.859481811523438,1.0
0.3,Z,23,20.128643035888672,1.0
0.3,Z,24,20.246719360351562,1.0
0.3,Z,25,20.376018524169922,1.0
0.3,Z,26,20.62932014465332,0.3217794597148895
0.3,Z,27,21.02926254272461,0.3286293148994446
0.3,Z,28,21.620370864868164,0.3136201500892639
0.3,Z,29,22.32823944091797,1.0
0.3,Z,30,23.35566520690918,0.30979233980178833
0.3,Z,31,24.903480529785156,0.30863407254219055
0.3,Z,32,17.894145965576172,0.3228375017642975
0.3,Z,33,18.32772445678711,0.3318651020526886
0.3,Z,34,18.698701858520508,0.3282882571220398
0.3,Z,35,19.0843505859375,0.3240032196044922
0.3,Z,36,19.32972526550293,1.0
0.3,Z,37,19.607257843017578,0.33496665954589844
0.3,Z,38,19.87748908996582,0.3278796672821045
0.3,Z,39,20.15802574157715,0.33477526903152466
0.3,Z,40,20.32598304748535,0.3273620307445526
0.3,Z,41,20.445415496826172,1.0
0.3,Z,42,20.54931640625,0.3339391052722931
0.3,Z,43,20.73809051513672,1.0
0.3,Z,44,21.079858779907227,0.32182425260543823
0.3,Z,45,21.610239028930664,1.0
