alpha,space,cell_idx,kl_div,lipschitz
0.4,X,0,22.41029167175293,0.3343329131603241
0.4,X,1,51702.3359375,0.04312102869153023
0.4,X,2,16913.7265625,0.0491415299475193
0.4,X,3,28827.748046875,1.0
0.4,X,4,23077.93359375,1.0
0.4,X,5,34648.16796875,0.04914497211575508
0.4,X,6,40979.625,0.15413260459899902
0.4,X,7,150.4113311767578,0.09480108320713043
0.4,X,8,-5.0,-5.0
0.4,X,9,-5.0,-5.0
0.4,X,10,-5.0,-5.0
0.4,X,11,-5.0,-5.0
0.4,X,12,-5.0,-5.0
0.4,X,13,-5.0,-5.0
0.4,X,14,-5.0,-5.0
0.4,X,15,-5.0,-5.0
0.4,X,16,-5.0,-5.0
0.4,X,17,-5.0,-5.0
0.4,X,18,-5.0,-5.0
0.4,X,19,-5.0,-5.0
0.4,X,20,-5.0,-5.0
0.4,X,21,-5.0,-5.0
0.4,X,22,-5.0,-5.0
0.4,X,23,-5.0,-5.0
0.4,X,24,-5.0,-5.0
0.4,X,25,-5.0,-5.0
0.4,X,26,-5.0,-5.0
0.4,X,27,-5.0,-5.0
0.4,X,28,-5.0,-5.0
0.4,X,29,-5.0,-5.0
0.4,X,30,-5.0,-5.0
0.4,X,31,-5.0,-5.0
0.4,X,32,-5.0,-5.0
0.4,X,33,-5.0,-5.0
0.4,X,34,-5.0,-5.0
0.4,X,35,-5.0,-5.0
0.4,X,36,-5.0,-5.0
0.4,X,37,-5.0,-5.0
0.4,X,38,-5.0,-5.0
0.4,X,39,-5.0,-5.0
0.4,X,40,-5.0,-5.0
0.4,X,41,-5.0,-5.0
0.4,X,42,-5.0,-5.0
0.4,X,43,-5.0,-5.0
0.4,X,44,-5.0,-5.0
0.4,X,45,-5.0,-5.0
0.4,X,46,-5.0,-5.0
0.4,X,47,-5.0,-5.0
0.4,X,48,-5.0,-5.0
0.4,X,49,-5.0,-5.0
0.4,X,50,-5.0,-5.0
0.4,X,51,-5.0,-5.0
0.4,X,52,-5.0,-5.0
0.4,X,53,-5.0,-5.0
0.4,X,54,-5.0,-5.0
0.4,X,55,-5.0,-5.0
0.4,X,56,-5.0,-5.0
0.4,X,57,-5.0,-5.0
0.4,X,58,-5.0,-5.0
0.4,X,59,-5.0,-5.0
0.4,X,60,-5.0,-5.0
0.4,X,61,-5.0,-5.0
0.4,X,62,-5.0,-5.0
0.4,X,63,-5.0,-5.0
0.4,X,64,-5.0,-5.0
0.4,X,65,-5.0,-5.0
0.4,X,66,-5.0,-5.0
0.4,X,67,-5.0,-5.0
0.4,X,68,-5.0,-5.0
0.4,X,69,-5.0,-5.0
0.4,X,70,-5.0,-5.0
0.4,X,71,-5.0,-5.0
0.4,X,72,-5.0,-5.0
0.4,X,73,-5.0,-5.0
0.4,X,74,-5.0,-5.0
0.4,X,75,-5.0,-5.0
0.4,X,76,-5.0,-5.0
0.4,X,77,-5.0,-5.0
0.4,X,78,-5.0,-5.0
0.4,X,79,-5.0,-5.0
0.4,X,80,-5.0,-5.0
0.4,X,81,-5.0,-5.0
0.4,X,82,-5.0,-5.0
0.4,X,83,-5.0,-5.0
0.4,X,84,-5.0,-5.0
0.4,X,85,-5.0,-5.0
0.4,X,86,-5.0,-5.0
0.4,X,87,-5.0,-5.0
0.4,X,88,-5.0,-5.0
0.4,X,89,-5.0,-5.0
0.4,X,90,-5.0,-5.0
0.4,X,91,-5.0,-5.0
0.4,X,92,-5.0,-5.0
0.4,X,93,-5.0,-5.0
0.4,X,94,-5.0,-5.0
0.4,X,95,-5.0,-5.0
0.4,X,96,-5.0,-5.0
0.4,X,97,-5.0,-5.0
0.4,X,98,-5.0,-5.0
0.4,X,99,-5.0,-5.0
0.4,X,100,-5.0,-5.0
0.4,X,101,-5.0,-5.0
0.4,X,102,-5.0,-5.0
0.4,X,103,-5.0,-5.0
0.4,X,104,-5.0,-5.0
0.4,X,105,-5.0,-5.0
0.4,X,106,-5.0,-5.0
0.4,X,107,-5.0,-5.0
0.4,X,108,-5.0,-5.0
0.4,X,109,-5.0,-5.0
0.4,X,110,-5.0,-5.0
0.4,X,111,-5.0,-5.0
0.4,X,112,-5.0,-5.0
0.4,X,113,-5.0,-5.0
0.4,X,114,-5.0,-5.0
0.4,X,115,-5.0,-5.0
0.4,X,116,-5.0,-5.0
0.4,X,117,-5.0,-5.0
0.4,X,118,-5.0,-5.0
0.4,X,119,-5.0,-5.0
0.4,X,120,-5.0,-5.0
0.4,X,121,-5.0,-5.0
0.4,X,122,-5.0,-5.0
0.4,X,123,-5.0,-5.0
0.4,X,124,-5.0,-5.0
0.4,X,125,-5.0,-5.0
0.4,X,126,-5.0,-5.0
0.4,X,127,-5.0,-5.0
0.4,X,128,-5.0,-5.0
0.4,X,129,-5.0,-5.0
0.4,X,130,-5.0,-5.0
0.4,X,131,-5.0,-5.0
0.4,X,132,-5.0,-5.0
0.4,X,133,-5.0,-5.0
0.4,X,134,-5.0,-5.0
0.4,X,135,-5.0,-5.0
0.4,X,136,-5.0,-5.0
0.4,X,137,-5.0,-5.0
0.4,X,138,-5.0,-5.0
0.4,X,139,-5.0,-5.0
0.4,X,140,-5.0,-5.0
0.4,X,141,-5.0,-5.0
0.4,X,142,-5.0,-5.0
0.4,X,143,-5.0,-5.0
0.4,X,144,-5.0,-5.0
0.4,X,145,-5.0,-5.0
0.4,X,146,-5.0,-5.0
0.4,X,147,-5.0,-5.0
0.4,X,148,-5.0,-5.0
0.4,X,149,-5.0,-5.0
0.4,X,150,-5.0,-5.0
0.4,X,151,-5.0,-5.0
0.4,X,152,-5.0,-5.0
0.4,X,153,-5.0,-5.0
0.4,X,154,-5.0,-5.0
0.4,X,155,-5.0,-5.0
0.4,X,156,-5.0,-5.0
0.4,X,157,-5.0,-5.0
0.4,X,158,-5.0,-5.0
0.4,X,159,-5.0,-5.0
0.4,X,160,-5.0,-5.0
0.4,X,161,-5.0,-5.0
0.4,X,162,-5.0,-5.0
0.4,X,163,-5.0,-5.0
0.4,X,164,-5.0,-5.0
0.4,X,165,-5.0,-5.0
0.4,X,166,-5.0,-5.0
0.4,X,167,-5.0,-5.0
0.4,X,168,-5.0,-5.0
0.4,X,169,-5.0,-5.0
0.4,X,170,-5.0,-5.0
0.4,X,171,-5.0,-5.0
0.4,X,172,-5.0,-5.0
0.4,X,173,-5.0,-5.0
0.4,X,174,-5.0,-5.0
0.4,X,175,-5.0,-5.0
0.4,X,176,-5.0,-5.0
0.4,X,177,-5.0,-5.0
0.4,X,178,-5.0,-5.0
0.4,X,179,-5.0,-5.0
0.4,X,180,-5.0,-5.0
0.4,X,181,-5.0,-5.0
0.4,X,182,-5.0,-5.0
0.4,X,183,-5.0,-5.0
0.4,X,184,-5.0,-5.0
0.4,X,185,-5.0,-5.0
0.4,X,186,-5.0,-5.0
0.4,X,187,-5.0,-5.0
0.4,X,188,-5.0,-5.0
0.4,X,189,-5.0,-5.0
0.4,X,190,-5.0,-5.0
0.4,X,191,-5.0,-5.0
0.4,X,192,-5.0,-5.0
0.4,X,193,-5.0,-5.0
0.4,X,194,-5.0,-5.0
0.4,X,195,-5.0,-5.0
0.4,X,196,-5.0,-5.0
0.4,X,197,-5.0,-5.0
0.4,X,198,-5.0,-5.0
0.4,X,199,-5.0,-5.0
0.4,X,200,-5.0,-5.0
0.4,X,201,-5.0,-5.0
0.4,X,202,-5.0,-5.0
0.4,X,203,-5.0,-5.0
0.4,X,204,-5.0,-5.0
0.4,X,205,-5.0,-5.0
0.4,X,206,-5.0,-5.0
0.4,X,207,-5.0,-5.0
0.4,X,208,-5.0,-5.0
0.4,X,209,-5.0,-5.0
0.4,X,210,-5.0,-5.0
0.4,X,211,-5.0,-5.0
0.4,X,212,-5.0,-5.0
0.4,X,213,-5.0,-5.0
0.4,X,214,-5.0,-5.0
0.4,X,215,-5.0,-5.0
0.4,X,216,-5.0,-5.0
0.4,X,217,-5.0,-5.0
0.4,X,218,-5.0,-5.0
0.4,X,219,-5.0,-5.0
0.4,X,220,-5.0,-5.0
0.4,X,221,-5.0,-5.0
0.4,X,222,-5.0,-5.0
0.4,X,223,-5.0,-5.0
0.4,X,224,-5.0,-5.0
0.4,X,225,-5.0,-5.0
0.4,X,226,-5.0,-5.0
0.4,X,227,-5.0,-5.0
0.4,X,228,-5.0,-5.0
0.4,X,229,-5.0,-5.0
0.4,X,230,-5.0,-5.0
0.4,X,231,-5.0,-5.0
0.4,X,232,-5.0,-5.0
0.4,X,233,-5.0,-5.0
0.4,X,234,-5.0,-5.0
0.4,X,235,-5.0,-5.0
0.4,X,236,-5.0,-5.0
0.4,X,237,-5.0,-5.0
0.4,X,238,-5.0,-5.0
0.4,X,239,-5.0,-5.0
0.4,X,240,-5.0,-5.0
0.4,X,241,-5.0,-5.0
0.4,X,242,-5.0,-5.0
0.4,X,243,-5.0,-5.0
0.4,X,244,-5.0,-5.0
0.4,X,245,-5.0,-5.0
0.4,X,246,-5.0,-5.0
0.4,X,247,-5.0,-5.0
0.4,X,248,-5.0,-5.0
0.4,X,249,-5.0,-5.0
0.4,X,250,-5.0,-5.0
0.4,X,251,-5.0,-5.0
0.4,X,252,-5.0,-5.0
0.4,X,253,-5.0,-5.0
0.4,X,254,-5.0,-5.0
0.4,X,255,-5.0,-5.0
0.4,Z,0,12.471418380737305,0.21723948419094086
0.4,Z,1,12.756906509399414,0.2181578427553177
0.4,Z,2,12.980026245117188,0.22656671702861786
0.4,Z,3,13.210905075073242,0.22654923796653748
0.4,Z,4,13.468092918395996,0.2187727987766266
0.4,Z,5,13.679854393005371,0.21890497207641602
0.4,Z,6,14.012998580932617,0.21891625225543976
0.4,Z,7,14.185221672058105,1.0
0.4,Z,8,14.550410270690918,0.22625848650932312
0.4,Z,9,14.764636039733887,0.21801768243312836
0.4,Z,10,15.097599983215332,1.0
0.4,Z,11,15.33230209350586,0.21792833507061005
0.4,Z,12,15.569347381591797,0.21784968674182892
0.4,Z,13,15.82957649230957,1.0
0.4,Z,14,16.126304626464844,0.21750451624393463
0.4,Z,15,17.00942611694336,0.22221682965755463
0.4,Z,16,11.116965293884277,0.23620952665805817
0.4,Z,17,11.28709888458252,0.21739989519119263
0.4,Z,18,11.59456729888916,0.21700745820999146
0.4,Z,19,11.871978759765625,1.0
0.4,Z,20,12.081995964050293,0.2166537195444107
0.4,Z,21,12.2806396484375,0.22607964277267456
0.4,Z,22,12.610989570617676,0.2167118340730667
0.4,Z,23,12.803775787353516,0.21708199381828308
0.4,Z,24,13.088295936584473,0.21886077523231506
0.4,Z,25,13.3065767288208,0.22665099799633026
0.4,Z,26,13.517251014709473,0.22662784159183502
0.4,Z,27,13.76113510131836,0.22670863568782806
0.4,Z,28,14.070588111877441,0.21891900897026062
0.4,Z,29,14.348433494567871,1.0
0.4,Z,30,14.590116500854492,0.21820208430290222
0.4,Z,31,15.454643249511719,0.21706466376781464
0.4,Z,32,10.13771915435791,0.3249376118183136
0.4,Z,33,10.263882637023926,0.30125629901885986
0.4,Z,34,10.446624755859375,0.29974034428596497
0.4,Z,35,10.6190767288208,0.23445391654968262
0.4,Z,36,10.761406898498535,0.23888307809829712
0.4,Z,37,11.007265090942383,1.0
0.4,Z,38,11.21678638458252,0.23451530933380127
0.4,Z,39,11.401678085327148,0.22061477601528168
0.4,Z,40,11.629324913024902,0.21633656322956085
0.4,Z,41,11.945673942565918,1.0
0.4,Z,42,12.097180366516113,0.21466101706027985
0.4,Z,43,12.361639976501465,1.0
0.4,Z,44,12.599217414855957,0.2160632312297821
0.4,Z,45,12.901756286621094,0.22666135430335999
0.4,Z,46,13.13946533203125,0.21782781183719635
0.4,Z,47,14.3814697265625,0.2165219783782959
0.4,Z,48,9.718633651733398,0.3334018886089325
0.4,Z,49,9.802888870239258,0.34046050906181335
0.4,Z,50,9.874411582946777,0.35145050287246704
0.4,Z,51,9.964235305786133,0.3514920771121979
0.4,Z,52,10.072192192077637,1.0
0.4,Z,53,10.1683931350708,1.0
0.4,Z,54,10.265456199645996,0.35054466128349304
0.4,Z,55,10.410934448242188,0.31764721870422363
0.4,Z,56,10.544958114624023,1.0
0.4,Z,57,10.733049392700195,1.0
0.4,Z,58,10.907094955444336,0.24945269525051117
0.4,Z,59,11.0693941116333,1.0
0.4,Z,60,11.289640426635742,0.22783471643924713
0.4,Z,61,11.473188400268555,1.0
0.4,Z,62,11.712358474731445,0.23157842457294464
0.4,Z,63,13.286225318908691,0.26754289865493774
0.4,Z,64,9.339862823486328,1.0
0.4,Z,65,9.401824951171875,0.3271421492099762
0.4,Z,66,9.472417831420898,0.3219276964664459
0.4,Z,67,9.559343338012695,1.0
0.4,Z,68,9.608919143676758,0.3241453766822815
0.4,Z,69,9.729226112365723,0.3392585217952728
0.4,Z,70,9.80777359008789,1.0
0.4,Z,71,9.911128997802734,1.0
0.4,Z,72,10.007905960083008,1.0
0.4,Z,73,10.09709644317627,0.3511132597923279
0.4,Z,74,10.174087524414062,0.35149022936820984
0.4,Z,75,10.293136596679688,0.3449435234069824
0.4,Z,76,10.395092964172363,0.35035187005996704
0.4,Z,77,10.532306671142578,0.312825083732605
0.4,Z,78,10.700637817382812,1.0
0.4,Z,79,12.3287353515625,0.2927732765674591
0.4,Z,80,8.952012062072754,0.3417395055294037
0.4,Z,81,9.080546379089355,0.35167381167411804
0.4,Z,82,9.175877571105957,0.33143365383148193
0.4,Z,83,9.258646965026855,0.3318667411804199
0.4,Z,84,9.321565628051758,0.3156556189060211
0.4,Z,85,9.397125244140625,0.3183062970638275
0.4,Z,86,9.451120376586914,0.3278408646583557
0.4,Z,87,9.490680694580078,1.0
0.4,Z,88,9.564645767211914,0.31902632117271423
0.4,Z,89,9.62894344329834,1.0
0.4,Z,90,9.706777572631836,1.0
0.4,Z,91,9.818310737609863,0.33576107025146484
0.4,Z,92,9.919757843017578,0.35131362080574036
0.4,Z,93,10.03399658203125,1.0
0.4,Z,94,10.145864486694336,0.3461066782474518
0.4,Z,95,11.894397735595703,1.0
0.4,Z,96,8.372137069702148,0.26137036085128784
0.4,Z,97,8.454893112182617,0.2753026783466339
0.4,Z,98,8.570233345031738,0.28257402777671814
0.4,Z,99,8.671037673950195,0.29659298062324524
0.4,Z,100,8.808902740478516,0.34778034687042236
0.4,Z,101,8.909351348876953,0.3503647446632385
0.4,Z,102,9.060982704162598,0.332618772983551
0.4,Z,103,9.159899711608887,0.33771252632141113
0.4,Z,104,9.273887634277344,0.34660154581069946
0.4,Z,105,9.368471145629883,0.3134767413139343
0.4,Z,106,9.429181098937988,1.0
0.4,Z,107,9.464162826538086,0.3229961097240448
0.4,Z,108,9.523245811462402,0.3168375492095947
0.4,Z,109,9.599546432495117,1.0
0.4,Z,110,9.669281959533691,0.316831111907959
0.4,Z,111,11.07875919342041,0.33447951078414917
0.4,Z,112,7.606420040130615,0.2474234253168106
0.4,Z,113,7.737856388092041,1.0
0.4,Z,114,7.889040470123291,0.2515384554862976
0.4,Z,115,8.028404235839844,0.2524968385696411
0.4,Z,116,8.171192169189453,0.2537100613117218
0.4,Z,117,8.295426368713379,0.2529204189777374
0.4,Z,118,8.434699058532715,1.0
0.4,Z,119,8.535719871520996,0.2548311948776245
0.4,Z,120,8.653206825256348,0.287184476852417
0.4,Z,121,8.779102325439453,1.0
0.4,Z,122,8.829683303833008,0.30734363198280334
0.4,Z,123,8.97070026397705,0.3287109434604645
0.4,Z,124,9.136810302734375,0.3390519320964813
0.4,Z,125,9.22419548034668,0.3447953760623932
0.4,Z,126,9.373079299926758,0.3268217444419861
0.4,Z,127,10.805651664733887,0.33042311668395996
0.4,Z,128,7.129710674285889,0.27446407079696655
0.4,Z,129,7.1562089920043945,0.31188082695007324
0.4,Z,130,7.252720832824707,0.29553645849227905
0.4,Z,131,7.332605361938477,0.2950899004936218
0.4,Z,132,7.437151908874512,1.0
0.4,Z,133,7.593137264251709,0.27498623728752136
0.4,Z,134,7.686314105987549,0.24917270243167877
0.4,Z,135,7.799356937408447,0.25414973497390747
0.4,Z,136,7.940888404846191,1.0
0.4,Z,137,8.073354721069336,0.25783202052116394
0.4,Z,138,8.184395790100098,0.2529659569263458
0.4,Z,139,8.31884479522705,1.0
0.4,Z,140,8.460522651672363,0.2723386585712433
0.4,Z,141,8.610621452331543,0.2803449332714081
0.4,Z,142,8.7803955078125,1.0
0.4,Z,143,10.437589645385742,0.27719545364379883
0.4,Z,144,7.634949684143066,1.0
0.4,Z,145,7.491913795471191,0.14769446849822998
0.4,Z,146,7.4516191482543945,0.14732159674167633
0.4,Z,147,7.329343318939209,0.14694780111312866
0.4,Z,148,7.279796600341797,0.14680081605911255
0.4,Z,149,7.270598411560059,0.16337627172470093
0.4,Z,150,7.232386112213135,0.2651813328266144
0.4,Z,151,7.264290809631348,0.30057820677757263
0.4,Z,152,7.348079681396484,0.31309738755226135
0.4,Z,153,7.420093059539795,0.3191019594669342
0.4,Z,154,7.556320667266846,1.0
0.4,Z,155,7.674030780792236,0.29109182953834534
0.4,Z,156,7.755925178527832,0.26409098505973816
0.4,Z,157,7.887735366821289,0.2548561096191406
0.4,Z,158,8.043004989624023,0.2577473819255829
0.4,Z,159,9.889588356018066,0.2583961486816406
0.4,Z,160,8.45120906829834,0.1410069614648819
0.4,Z,161,8.342325210571289,0.15221694111824036
0.4,Z,162,8.234102249145508,0.14154388010501862
0.4,Z,163,8.118427276611328,0.15596447885036469
0.4,Z,164,8.015567779541016,0.15548965334892273
0.4,Z,165,7.9310455322265625,1.0
0.4,Z,166,7.779550552368164,0.15691368281841278
0.4,Z,167,7.667001247406006,0.15686078369617462
0.4,Z,168,7.603653430938721,0.14786884188652039
0.4,Z,169,7.503022193908691,1.0
0.4,Z,170,7.414063453674316,1.0
0.4,Z,171,7.389683246612549,0.16432544589042664
0.4,Z,172,7.361398696899414,0.30227866768836975
0.4,Z,173,7.379543304443359,0.28845712542533875
0.4,Z,174,7.497739315032959,0.28962698578834534
0.4,Z,175,9.27244758605957,0.26796016097068787
0.4,Z,176,9.162200927734375,0.12481089681386948
0.4,Z,177,9.082770347595215,0.12526382505893707
0.4,Z,178,8.988497734069824,1.0
0.4,Z,179,8.906532287597656,0.12788140773773193
0.4,Z,180,8.801578521728516,0.13313712179660797
0.4,Z,181,8.758322715759277,1.0
0.4,Z,182,8.60123348236084,0.15253384411334991
0.4,Z,183,8.525412559509277,0.14674849808216095
0.4,Z,184,8.398517608642578,0.14616991579532623
0.4,Z,185,8.278726577758789,0.15606527030467987
0.4,Z,186,8.195316314697266,0.14679831266403198
0.4,Z,187,8.062922477722168,0.14817170798778534
0.4,Z,188,8.00489330291748,1.0
0.4,Z,189,7.837231159210205,0.14814695715904236
0.4,Z,190,7.86059045791626,0.15963125228881836
0.4,Z,191,9.4784517288208,1.0
0.4,Z,192,9.892553329467773,0.11096592247486115
0.4,Z,193,9.774210929870605,0.1131521537899971
0.4,Z,194,9.684619903564453,0.11736208200454712
0.4,Z,195,9.607950210571289,0.1317223310470581
0.4,Z,196,9.491268157958984,0.13218380510807037
0.4,Z,197,9.375256538391113,0.12442291527986526
0.4,Z,198,9.29662799835205,0.12312997132539749
0.4,Z,199,9.22562026977539,1.0
0.4,Z,200,9.124368667602539,1.0
0.4,Z,201,9.064724922180176,0.12424857169389725
0.4,Z,202,8.942325592041016,0.12597575783729553
0.4,Z,203,8.898921012878418,1.0
0.4,Z,204,8.735173225402832,1.0
0.4,Z,205,8.657426834106445,0.1555330455303192
0.4,Z,206,8.697447776794434,0.16989116370677948
0.4,Z,207,10.090862274169922,0.12896764278411865
0.4,Z,208,10.169859886169434,0.2961798906326294
0.4,Z,209,10.165027618408203,0.28458088636398315
0.4,Z,210,10.182290077209473,0.24115204811096191
0.4,Z,211,10.198040962219238,0.21796579658985138
0.4,Z,212,10.166218757629395,0.19195622205734253
0.4,Z,213,10.137255668640137,0.16617754101753235
0.4,Z,214,10.03564167022705,0.1676381528377533
0.4,Z,215,9.915788650512695,0.11158504337072372
0.4,Z,216,9.808320045471191,1.0
0.4,Z,217,9.7354736328125,1.0
0.4,Z,218,9.5930814743042,0.12405361980199814
0.4,Z,219,9.53151798248291,0.12372592091560364
0.4,Z,220,9.400592803955078,0.12241553515195847
0.4,Z,221,9.311257362365723,0.12281861901283264
0.4,Z,222,9.368593215942383,0.13159434497356415
0.4,Z,223,10.56088638305664,0.125576913356781
0.4,Z,224,10.228995323181152,0.373393714427948
0.4,Z,225,10.309727668762207,1.0
0.4,Z,226,10.397635459899902,0.3238861858844757
0.4,Z,227,10.38155460357666,0.2622238099575043
0.4,Z,228,10.390325546264648,0.33111146092414856
0.4,Z,229,10.304140090942383,1.0
0.4,Z,230,10.268532752990723,0.2918802499771118
0.4,Z,231,10.26718521118164,0.27448996901512146
0.4,Z,232,10.2893648147583,0.235689178109169
0.4,Z,233,10.292892456054688,0.21022695302963257
0.4,Z,234,10.274063110351562,0.24460217356681824
0.4,Z,235,10.21240234375,1.0
0.4,Z,236,10.175376892089844,0.20123203098773956
0.4,Z,237,10.077353477478027,0.10593800991773605
0.4,Z,238,10.111035346984863,0.12379007786512375
0.4,Z,239,11.357736587524414,1.0
0.4,Z,240,11.516834259033203,0.4217630922794342
0.4,Z,241,11.241345405578613,0.45469406247138977
0.4,Z,242,11.071146965026855,0.4494173228740692
0.4,Z,243,10.815226554870605,0.4952273964881897
0.4,Z,244,10.652170181274414,0.48156535625457764
0.4,Z,245,10.406970977783203,1.0
0.4,Z,246,10.353778839111328,1.0
0.4,Z,247,10.391161918640137,1.0
0.4,Z,248,10.441900253295898,0.3669937551021576
0.4,Z,249,10.503806114196777,0.4028623104095459
0.4,Z,250,10.506007194519043,1.0
0.4,Z,251,10.421405792236328,0.3100595474243164
0.4,Z,252,10.365866661071777,0.311616450548172
0.4,Z,253,10.363957405090332,1.0
0.4,Z,254,10.512316703796387,0.27486515045166016
0.4,Z,255,11.821001052856445,1.0
