alpha,beta,kl,L(z)
0.2,0.5,4.1550445556640625,4.852589130401611
0.2,0.5,76.5496597290039,9.25516414642334
0.2,0.5,14.248627662658691,8.02101993560791
0.3,0.5,32195766.0,3.9349591732025146
0.3,0.5,7.148012161254883,2.9624626636505127
0.3,0.5,114.31314849853516,13.865251541137695
0.3,0.5,36.8184814453125,10.481452941894531
0.4,0.5,1485.2574462890625,3.082764148712158
0.4,0.5,78.1302261352539,5.967578411102295
0.4,0.5,223.3610382080078,6.420551776885986
0.4,0.5,11.66089153289795,3.174837827682495
0.0,0.6,3.561039447784424,94.79373931884766
0.0,0.6,3.6441476345062256,492.8695068359375
0.0,0.6,4.305535793304443,129.2610626220703
0.0,0.6,2.640507936477661,87.11785888671875
0.1,0.6,4.101353645324707,6.196771621704102
0.1,0.6,3.7196366786956787,5.100551605224609
0.1,0.6,4.055595397949219,4.894888877868652
0.1,0.6,2.6029770374298096,5.60273551940918
0.2,0.6,177224646656.0,3.264465808868408
0.2,0.6,2112790.25,3.713038921356201
0.2,0.6,8.274566650390625,4.182112216949463
0.2,0.6,3.721824884414673,8.65828800201416
0.3,0.6,3.5828795433044434,4.252290725708008
0.3,0.6,104.17243957519531,33.76225662231445
0.3,0.6,53.18037414550781,2.7985939979553223
0.3,0.6,2.76995587348938,4.435278415679932
0.4,0.6,27.933242797851562,12.305291175842285
0.4,0.6,20.758825302124023,3.619858980178833
0.4,0.6,124.1020736694336,6.168139934539795
0.4,0.6,21.776382446289062,4.083881855010986
