alpha,space,cell_idx,kl_div,lipschitz
0.01,X,0,0.022554853931069374,0.2245531529188156
0.01,X,1,0.04842020571231842,0.34143438935279846
0.01,X,2,0.05895538628101349,1.0
0.01,X,3,0.04704953730106354,0.2677830755710602
0.01,X,4,0.0581582635641098,0.22187890112400055
0.01,X,5,0.05162297934293747,1.0
0.01,X,6,0.053036879748106,0.39278653264045715
0.01,X,7,11.178489685058594,0.6765276789665222
0.01,X,8,-5.0,-5.0
0.01,X,9,-5.0,-5.0
0.01,X,10,-5.0,-5.0
0.01,X,11,-5.0,-5.0
0.01,X,12,-5.0,-5.0
0.01,X,13,-5.0,-5.0
0.01,X,14,-5.0,-5.0
0.01,X,15,-5.0,-5.0
0.01,X,16,-5.0,-5.0
0.01,X,17,-5.0,-5.0
0.01,X,18,-5.0,-5.0
0.01,X,19,-5.0,-5.0
0.01,X,20,-5.0,-5.0
0.01,X,21,-5.0,-5.0
0.01,X,22,-5.0,-5.0
0.01,X,23,-5.0,-5.0
0.01,X,24,-5.0,-5.0
0.01,X,25,-5.0,-5.0
0.01,X,26,-5.0,-5.0
0.01,X,27,-5.0,-5.0
0.01,X,28,-5.0,-5.0
0.01,X,29,-5.0,-5.0
0.01,X,30,-5.0,-5.0
0.01,X,31,-5.0,-5.0
0.01,X,32,-5.0,-5.0
0.01,X,33,-5.0,-5.0
0.01,X,34,-5.0,-5.0
0.01,X,35,-5.0,-5.0
0.01,X,36,-5.0,-5.0
0.01,X,37,-5.0,-5.0
0.01,X,38,-5.0,-5.0
0.01,X,39,-5.0,-5.0
0.01,X,40,-5.0,-5.0
0.01,X,41,-5.0,-5.0
0.01,X,42,-5.0,-5.0
0.01,X,43,-5.0,-5.0
0.01,X,44,-5.0,-5.0
0.01,X,45,-5.0,-5.0
0.01,X,46,-5.0,-5.0
0.01,X,47,-5.0,-5.0
0.01,X,48,-5.0,-5.0
0.01,X,49,-5.0,-5.0
0.01,X,50,-5.0,-5.0
0.01,X,51,-5.0,-5.0
0.01,X,52,-5.0,-5.0
0.01,X,53,-5.0,-5.0
0.01,X,54,-5.0,-5.0
0.01,X,55,-5.0,-5.0
0.01,X,56,-5.0,-5.0
0.01,X,57,-5.0,-5.0
0.01,X,58,-5.0,-5.0
0.01,X,59,-5.0,-5.0
0.01,X,60,-5.0,-5.0
0.01,X,61,-5.0,-5.0
0.01,X,62,-5.0,-5.0
0.01,X,63,-5.0,-5.0
0.01,X,64,-5.0,-5.0
0.01,X,65,-5.0,-5.0
0.01,X,66,-5.0,-5.0
0.01,X,67,-5.0,-5.0
0.01,X,68,-5.0,-5.0
0.01,X,69,-5.0,-5.0
0.01,X,70,-5.0,-5.0
0.01,X,71,-5.0,-5.0
0.01,X,72,-5.0,-5.0
0.01,X,73,-5.0,-5.0
0.01,X,74,-5.0,-5.0
0.01,X,75,-5.0,-5.0
0.01,X,76,-5.0,-5.0
0.01,X,77,-5.0,-5.0
0.01,X,78,-5.0,-5.0
0.01,X,79,-5.0,-5.0
0.01,X,80,-5.0,-5.0
0.01,X,81,-5.0,-5.0
0.01,X,82,-5.0,-5.0
